مەن	мен
ەتىپۇ	етіп
بەرى	бері
كەتتىك	кеттік
وبوت	обот
ستىپ	естіп
اپ	сау
بوۋ	бос
جاقىنم	жақын
كەلەاسى	келесі
تۇفسىز	тұрсыз
ىسى	кісі
قارا	қара
اۋىرۋ	ауыру
كورە	көре
جاساپ	жасап
ٴبىراز	біраз
بريتان	британ
وتقىرمىن	отырмын
ۇلكەن	үлкен
كملدىم	келдім
سۇتاپ	сұрап
اگەبوجن	агентін
جىىت	жігіт
جوعالعان	жоғалған
رەك	жек
قاراي	қарай
جاتان	жатқан
كەتكەن	кеткен
مالدەمردى	малдерді
كەتىپ	кетіп
كوپتەگڭن	көптеген
ساۋلىق	саулық
جۇمىسى	жұмысы
سەكىلدع	секілді
ۋيتاسىز	айтасыз
اۆت	айт
تۇرىڭىز	тұрыңыз
بارىپ	барып
ۇستمپ	ұстап
اراحا	арада
كەلمگەيدى	келмейді
ەكىنشى	екінші
دەدىزىز	дедіңіз
وتىرىكر	өтірікші
بارا	бара
قىلمىس	қылмыс
ەيدەك	емдеу
باۆدى	барады
ۋلى	ұлы
قالجەت	қажет
ٴتۇسىدىم	түсіндім
نوزىكنىڭ	өзімнің
ەچكسمگشە	ешкімге
ٴوزىڭدى	өзіңді
سۋنە	сене
الواتىنت	алатын
زاڭسىز	заңсыз
ۇيگە	үйге
مۇنىڭ	мұның
جۇمىسىم	жұмысым
تۇرعنىم	тұрғаным
ۇيۆقچ	ұшақ
وتىرڭىز	отырыңыз
قولى	қолы
بولاايدى	болмайды
المچيسىڭ	алмайсың
قاتىسى	қатысы
سودان	содан
سوعان	соған
ۋگاگداعا	угандаға
جولمەن	жолмен
ايتشى	айтшы
ساعاتتان	сағаттан
الۋ	алу
ساتىپ	сатып
امالسىد	амансыз
اۋرۋىۋ	ауруы
ۇت	зат
ڭستەي	істей
مۇنى	мұны
ماڭىۋۆل	маңызды
قۋىپ	қуып
بەرسىن	берсін
ساندۆوفف	сандхофф
اقپارات	ақпарат
ەلدەن	елден
بويىنشا	бойынша
شىعىپ	шығып
ەدىڭ	едің
ٴميڭيستيرسى	министірі
جوعالىپ	жоғалып
كەرەدەت	керемет
سەزىم	сезім
الماومىز	алмаймыз
سوڭعى	соңғы
كورۋگك	көруге
حٴلى	халық
مۇز	мұз
كىحىلەر	кісілер
سۇراق	сұрақ
بىرنەشە	бірнеше
ايتامىن	айтамын
مدايمىگلدافر	маймылдар
ىاەپ	істеп
قىزىٴ	қызық
قراپكيىۆ	қарапайым
ۋاقىتتا	уақытта
ۇيتتىڭ	айттың
كۇ	күн
جەر	жер
شەشىم	шешім
بولدىڭ	болдың
شىۇارسفڭ	шығарсың
سەنەىن	сенемін
الاسىز	аласыз
قالا	қала
ٴەكە	жеке
كىرىڭىز	кіріңіз
گاريقانمى	гариганмын
اكيتنابقفى	айтпақшы
ونداٴ	ондай
تابا	таба
ۇكىمەت	үкімет
كەتكىر	кеткір
وللردان	олардан
بونني	бонни
ٴبىتتى	бітті
كەلەمىن	келемін
بولسىن	болсын
ايلتاسىڭ	айтасың
تىرعان	отырған
مرنالردى	мыналарды
مەريت	мерит
ايبتقانىمدى	айтқанымды
سوەسۋپە	сөйлесуге
وسىى	осыны
ۆشەلەرىن	мүшелерін
قۇرىپ	құрып
جامان	жаман
اعىلشىن	ағылшын
ەتەمىز	етеміз
جانار	жануар
مۇشەسىن	мүшесін
ادامداردى	адамдарды
ولاردام	оларда
سونى	соны
اقيىنە	аминге
كورىنەدى	көрінеді
للاۇدىڭ	олардың
ٴوزىيىز	өзіңіз
بولماقق	болмақ
قيىن	қиын
تۇتقىندر	тұтқындар
ٴحبىرتۇرلى	біртүрлі
كەتەمىن	кетемін
ركىمزت	үкіметі
ەمحانا	емхана
قىز	қыз
بۇدن	бұдан
ماقتان	мақтан
انىعق	анық
دەيسىڭ	дейсің
تارل	тарт
ۋىلعا	ауылға
ەرتەڭد	ертең
زوودۇكە	зоодүкен
جاسزاچ	жасай
كوپ	көп
ماقسات	мақсат
ايتادى	айтады
جحسايتىن	жасайтын
يتتەجر	иттер
دەدىم	дедім
قۇعايدىڭ	құдайдың
سوۋن	стоун
شاسىرىپ	шақырып
ادامنىڭ	адамның
تۇرسىڭ	тұрсың
كىگىنى	кісіні
ەمحاناعا	емханаға
اناڭ	анаң
ۇقسايدى	ұқсайды
جانىڭدا	жаныңда
وتىنەم	өтінем
ەمدى	емді
كوترەدۆى	көреді
كەتە	кете
ابلمادىم	алмадым
قاعاپ	қамап
بالانىڭ	баланың
بجاستاپ	бастап
وزۇڭد	өзің
حابارلاسجپت	хабарласып
تاستا	таста
باسىنا	басына
ٴجۇرمىن	жүрмін
قارىم	қарым
ماشمنا	машина
ولتىرمەكشى	өлтірмекші
تالعام	талғам
ٴولى	өліп
دەم	дем
كەشە	кеше
قوسىلىپ	қосылып
تومەن	төмен
بىرى	бірі
دىم	дым
تكرعان	тұрған
وكىلى	өкілі
اشىق	ашық
المايلى	алмайды
قالاعدى	қалайды
سجعات	сағат
كنيدە	кейде
بەتىم	бетін
سالىنعان	салынған
قولگانا	қолдана
جاسالعتن	жасалған
ببلدىم	болдым
ەكڭۋمگدىڭم	екеуміздің
ارچتقا	артқа
ەسۋتىدم	естідім
ەشانداي	ешқандай
جايل	жайлы
كەلدىڭ	келдің
اەبەپ	себеп
تومقتاماپ	тоқтамай
باسقاشا	басқаша
ۇردىم	ұрдым
كەسلگەعىگ	келгенін
بولۋس	болуы
الدپندا	алдында
كىمگە	кімге
ۇسمتىندە	үстінде
مەيىمەن	менімен
ماوا	мама
اداممەن	адаммен
سوفلەسىپ	сөйлесіп
وتىرسىڭ	отырсың
قاي	қай
جەرگىلىكتى	жергілікті
كەلسە	келсе
بەرە	бере
ەكەۋميىز	екеуміз
ويٴن	ойын
الاسىڭ	аласың
اىپ	атып
مۇدايدان	құдайдан
ٴتۇرلى	түрлі
تىنىش	тыныш
ورنىنا	орнына
بىلەسىنبە	білесіңбе
اناۋ	анау
بعلمم	болсам
كوردىڭىز	көрдіңіз
جولىپم	қолым
باگىس	батыс
اگەنتى	агенті
جاس	жас
جىحەردى	жіберді
اعىلشىنشا	ағылшынша
ەمەسپىنع	емеспін
بۇرىندا	бұрында
شوتلاندىقق	шотландық
قولىنداق	қолында
سەدى	сенеді
شارشادىم	шаршадым
جاتىرسىڭ	жатырсың
توقتما	тоқтама
تافتىڭىز	таптыңыз
ايتقان	айтқан
ەلدىڭ	елдің
درامپي	драмми
بۇنىڭ	бұның
انتىڭىز	айтыңыз
سەزىپ	сезіп
قازىر	қазір
ادى	алды
ەكعەنسىڭ	екенсің
ادامعا	адамға
كورەڭىل	көреміз
تىڭٴاشى	тыңдашы
مەننەن	меннен
دەگەنىڭ	дегенің
اداۇدارعا	адамдарға
جاتىرسىز	жатырсыз
بارلىعى	барлығы
بارام	барам
بۇيەۋىم	күйеуім
ٴوزىقنىڭ	өзінің
جىبەرگە	жіберген
كۇدىكتى	күдікті
وقاسى	оқасы
علەڭ	өлең
رييمونع	ричмонд
كش	кеш
بىردەي	бірдей
بايلقنىس	байланыс
كەلىۆڭىز	келіңіз
قام	қам
ويۋايد	ойлайды
سويلەيسىز	сөйлейсіз
تاباى	табады
وسيەتۋ	өсиеті
قوش	қош
مىنۋيتىن	мінейтін
اۇىماق	ақымақ
بەرەم	берем
شىعارىپ	шығарып
بولمۇىن	бөлмесіне
داعباسا	далбаса
بارىن	барын
ەلىمە	еліме
بۇتپەگەن	күтпеген
ماسيۇنەم	маскүнем
سوزىنە	сөзіне
كوراەم	көргем
يزني	итни
جچل	жол
بوباتىنمىب	болатынмын
بەلگىسىز	белгісіз
بولىڭىز	болыңыз
قويعجن	қойған
دونور	донор
جەتىى	жеті
ٴىستى	істі
ادال	адал
تۇندە	түнде
ايتپايسجڭ	айтпайсың
جاعداۆىرا	жағдайына
حوليزەي	холидей
جوققا	жоққа
ماشينانى	машинаны
ىستەر	істер
زوم	зым
سىرتقى	сыртқы
ايكتپايمىن	айтпаймын
ەستيدى	естиді
بۇكىل	бүкіл
ۇمىتتەنىپ	үміттеніп
سەندەرگە	сендерге
جەتە	жете
سكيننەب	скиннер
افريكا	африка
ٴىزى	ізі
قىلمىسقا	қылмысқа
سحرعاعان	сұраған
ماپقالانى	мақаланы
تۇسىمدە	түсімде
تالۇىقتى	талшықты
ۇيىنە	үйіне
كورىڭىز	көріңіз
ٴاتىۋ	жатып
قاليسىز	қалайсыз
بەرمىن	беремін
وقسدىڭ	оқыдың
اۋىنتى	агентті
كورسەت	көрсет
اۋىستىرحعا	ауыстыруға
اجومسىڭ	адамсың
بولماعان	болмаған
شەگىى	шегін
الداپ	алдап
تولىعىمىەن	толығымен
بوجىم	бөлім
بەرمەيشى	бермейді
بپولشەكتەرى	бөлшектері
سەنبەيمىن	сенбеймін
ەتكىزەمىن	жеткіземін
قاۋ	қалу
تسسەكتەگى	төсектегі
نەمەس	немесе
تاستاڭىزدى	тастаңызшы
تاٴليسىا	танисыз
اگەنتتىڭ	агенттің
سۇكاۋ	сұрау
ىشىندە	ішінде
قويۇڭەز	қойыңыз
تۇڭاسىز	тұрасыз
ورەسپەل	өрескел
ىشتە	іште
اۋىرۋى	ауыруы
ۆتۇسر	түсір
الدىق	алдық
ىۇمىسىن	жұмысын
ۇرامايدى	ұнамайды
قولدىارىدڭدى	қолдарыңды
وكپە	өкпе
بىرگەمىن	біргемін
ويلايمىز	ойлаймыз
ۇكىقتاپ	ұйықтап
جىلدام	жылдам
وزدەرى	өздері
بالام	балам
براسەەت	браслет
تاپتىق	таптық
ايشا	айда
وتۋرىپ	отырып
ەمدەۋگە	емдеуге
حابارلاسيى	хабарласты
تاستاڭىز	тастаңыз
ۇستاعاۇ	ұстаған
ەمى	емі
جاسعدايى	жағдайы
ٴوحىرى	өмірі
تاستاما	тастама
ەتكوىم	еткім
ڭۇرعاندكا	тұрғанда
اسىنان	басынан
حاتۆى	затты
عىلىم	ғылым
سىييلايەف	сыйлаймын
ەكەۋرىنڭدە	екеуінде
توقتاتتن	тоқтатты
ەستىدىك	естідік
الماقشى	алмақшы
بەرەمعىشز	береміз
بۋىلقەيمىى	білмейміз
ميتام	айтам
باعال	баға
بالاما	балама
تابىلدى	табылды
باسسەينگە	бассейнге
جاتۇڭحانا	жатақхана
سييلوعىم	сыйлығым
عفلىك	көлік
سەٴىكىى	сенікі
ىورەديىك	көрейік
تاستادم	тастадым
ىڭعايلى	ыңғайлы
ارنالعان	арналған
الاشىن	аламын
اۋرۋىنۋ	ауруына
ەكەۋىڭ	екеуің
قۇتىلۋىم	құтылуым
ويلادىم	ойладым
سەنگىم	сенгім
امالىم	амалым
شىقپايمىم	шықпаймын
كەتيەسەتىن	кездесетін
كەلەي	келмей
سيسەك	сирек
كوزىٴدى	көзіңді
ٴبىلىپ	біліп
ۇيۋقتاي	ұйықтай
توماس	томас
تۇسىنپەدىم	түсінбедім
باسىف	басым
ٴبنراتالا	біратала
كورزگتكىم	көрсеткім
بەرەيىن	берейін
جەرحدى	жерді
ايتپاۆىپ	айтпадың
جوعۇال	жоғалт
كلوز	көз
ىستكگەنى	істегені
الا	ала
ىزدەرى	іздері
بايلانىستى	байланысты
بولماي	болмай
كەمەنە	немене
ازياتتاردى	азиаттарды
وقيعالمرعا	оқиғаларға
داىن	дайын
قيلدا	қолда
رومەرسەت	сомерсет
سجنەسىزا	сенесіз
پولىڭدى	қолыңды
ولىلە	өлімге
قۇديدى	құдайды
كەزسندە	кезінде
كومشمدى	көзімді
قشلىڭنان	қолыңнан
كۇندە	күнде
جولى	жолы
ويىڭدى	ойыңды
ٴتٴرىمبك	тірімін
كەقىلگمر	кепілгер
سۇرايىن	сұрайын
ەنۆەبيپە	ентебиге
ۇرلانىپ	ұрланып
ادحمدارىم	адамдарым
باستادى	бастады
شولعانىم	болғаным
ساندىراق	сандырақ
بەبۆەكڭ	безгек
جاسادىڭز	жасадың
بارامىحن	барамын
اتاقشا	атаққа
الادى	алады
تيمي	тимей
تۇىپ	тұрып
بفلاعا	балаға
پلەن	пен
ٴولىم	өлім
كەسىرىنەن	кесірінен
ايتتىڭىز	айттыңыз
قۇققاۆۋ	құтқару
قۋييتحپ	қайтып
ٴوزىمىزدىڭ	өзіміздің
شىقەان	шыққан
حات	хат
جىەرگەندت	жібергенде
ىسىك	ісік
قويدىم	қойдым
دەتىندە	ретінде
ەلەا	елес
ىزە	тіке
اسىحقپاڭۋار	асықпаңдар
قاتاردن	қатарды
تاپسىرامىز	тапсырамыз
جىلدار	жылдар
بەڭدىڭ	бердің
ستاماڭدار	стамаңдар
جۇمىسىڭ	жұмысың
كورسەتەمىنك	көрсетемін
ەتتىڭ	еттің
شىعارسىز	шығарсыз
اناليز	анализ
كەسٴپ	кесіп
شىعادى	шығады
تەلەفون	телефон
قىۇدى	қызды
ٴجۇرىپ	жүріп
ىزدەۋ	іздеу
كەتەتىن	кететін
كەتسەڭ	кетсең
كۇدىكتىنىڭ	күдіктінің
سويلەس	сөйлес
قۇدگيعا	құдайға
كورشنەتىن	көрінетін
جابرىق	жарық
كورەسىز	көресіз
التى	алты
الامىز	аламыз
بۇعان	бұған
ۇيدە	үйде
ٴىرى	ірі
تەكەرف	тексеру
مەسپىز	емеспіз
الام	алам
تگيىم	тиым
ۇرگەنىن	үргенін
ناشار	нашар
سەنىپ	сеніп
اۋىرردى	ауырады
بوسقا	босқа
بوساتىڭدار	босатыңдар
تاپەتىم	таптым
جالىڭدار	жатыңдар
توقتاڭۆار	тоқтаңдар
شامكالى	шамалы
جويىپ	жойып
زوتقا	затқа
جەپ	жеп
ورنىندا	орнында
امان	аман
الىس	алыс
كەز	кез
دەدى	деді
ۇسترۋجار	ұстаңдар
كۇدىك	күдік
باسقارج	басқару
كىوسە	кісіге
شىق	шық
مينۋت	минут
بۇنىمەن	бұнымен
تەرەڭ	терең
ديجكي	виски
تويدلم	тойдым
اۋرحانبسى	ауруханасы
سەرۋەزدەپ	серуендеп
جاقاڭاش	жалаңаш
چبتيشى	биші
جىگىتتە	жігіттер
تاباسز	табасыз
العىرز	алғыр
تەكسەرۋگە	тексеруге
ىتەيدى	істейді
دەيىن	дейін
داكوتا	дакота
باسىندا	басында
وردكرىمىز	ордеріміз
قۇلاىپ	құлатып
كەتۋى	кетуі
وڭاي	оңай
قولىن	қолын
ٴجارىڭىس	жүріңіз
اترىپ	апарып
بولماڭىز	болмаңыз
زاتتار	заттар
حالىققا	халыққа
ەندەقە	ендеше
تيستايدى	тастайды
تۇردە	түрде
وتكىزىپ	өткізіп
جازىپ	жазып
سىيىردىڭ	сыйырдың
جاعدايدا	жағдайда
تۇا	тұра
وقيعت	оқиға
مىندەتى	міндетті
اندا	анда
تىك	тік
الدىىىز	алдыңыз
كەشكى	кешкі
تاماق	тамақ
ۇيلەنگەن	үйленген
رشك	ішке
جواعىمزىز	жағымсыз
كورەيىق	көрейін
كوىە	көзге
ساڭتاپ	сақтап
تۋدى	туды
سالاماتسىرز	саламатсыз
توڭكەرىس	төңкеріс
ەسىمىم	есімім
كىمسىز	кімсіз
ىەمگيلى	белгілі
سوبىرىمدكى	өмірімді
قاۋىپ	қауіп
بارامىز	барамыз
نەتكۆەن	неткен
قايدافىزح	қайдасыз
ەتەتىن	ететін
كەدەي	кедей
ٴومىرىم	өмірім
ەتتىم	еттім
ماسانحگا	масанга
بدلادى	баласы
فويشى	қойшы
بۇن	бұны
انت	ант
كەدەسىنە	кеудесіне
ىشسىم	ісім
زلىپتى	алыпты
اعاتشا	сағатта
يەسى	иесі
جىلدان	жылдан
وتكەدە	өткенде
تانىسپىن	таныспын
تاگدادڭ	таңдадың
شوتىنا	шотына
جاىندى	жалынды
