مەن	мен
وبوت	обот
ەستىپ	естіп
ساۋ	сау
بوس	бос
جاقىن	жақын
كەلەسى	келесі
تۇرسىز	тұрсыз
كىسى	кісі
قارا	қара
اۋىرۋ	ауыру
كورە	көре
جاساپ	жасап
ٴبىراز	біраз
بريتان	британ
وتىرمىن	отырмын
ۇلكەن	үлкен
كەلدىم	келдім
سۇراپ	сұрап
اگەنتىن	агентін
جىگىت	жігіт
جوعالعان	жоғалған
جەك	жек
قاراي	қарай
جاتقان	жатқан
كەتكەن	кеткен
مالدەردى	малдерді
كەتىپ	кетіп
كوپتەگەن	көптеген
ساۋلىق	саулық
جۇمىسى	жұмысы
سەكىلدى	секілді
ايتاسىز	айтасыз
ايت	айт
تۇرىڭىز	тұрыңыз
بارىپ	барып
ۇستاپ	ұстап
ارادا	арада
كەلمەيدى	келмейді
ەكىنشى	екінші
دەدىڭىز	дедіңіз
وتىرىكشى	өтірікші
بارا	бара
قىلمىس	қылмыс
ەمدەۋ	емдеу
بارادى	барады
ۇلى	ұлы
قاجەت	қажет
ٴتۇسىندىم	түсіндім
ٴوزىمنىڭ	өзімнің
ەشكىمگە	ешкімге
ٴوزىڭدى	өзіңді
سەنە	сене
الاتىن	алатын
زاڭسىز	заңсыз
ۇيگە	үйге
مۇنىڭ	мұның
جۇمىسىم	жұмысым
تۇرعانىم	тұрғаным
ۇشاق	ұшақ
وتىرىڭىز	отырыңыз
قولى	қолы
بولمايدى	болмайды
المايسىڭ	алмайсың
قاتىسى	қатысы
سودان	содан
سوعان	соған
ۋگانداعا	угандаға
جولمەن	жолмен
ايتشى	айтшы
ساعاتتان	сағаттан
الۋ	алу
ساتىپ	сатып
امانسىز	амансыз
اۋرۋى	ауруы
زات	зат
ىستەي	істей
مۇنى	мұны
ماڭىزدى	маңызды
قۋىپ	қуып
بەرسىن	берсін
ساندحوفف	сандхофф
اقپارات	ақпарат
ەلدەن	елден
بويىنشا	бойынша
شىعىپ	шығып
ەدىڭ	едің
ٴمينيستىرى	министірі
جوعالىپ	жоғалып
كەرەمەت	керемет
سەزىم	сезім
المايمىز	алмаймыз
سوڭعى	соңғы
كورۋگە	көруге
حالىق	халық
مۇز	мұз
كىسىلەر	кісілер
سۇراق	сұрақ
بىرنەشە	бірнеше
ايتامىن	айтамын
مايمىلدار	маймылдар
ىستەپ	істеп
قىزىق	қызық
قاراپايىم	қарапайым
ۋاقىتتا	уақытта
ايتتىڭ	айттың
كۇن	күн
جەر	жер
شەشىم	шешім
بولدىڭ	болдың
شىعارسىڭ	шығарсың
سەنەمىن	сенемін
الاسىز	аласыз
قالا	қала
جەكە	жеке
كىرىڭىز	кіріңіз
گاريگانمىن	гариганмын
ايتپاقشى	айтпақшы
ونداي	ондай
تابا	таба
ۇكىمەت	үкімет
كەتكىر	кеткір
ولاردان	олардан
بونني	бонни
ٴبىتتى	бітті
كەلەمىن	келемін
بولسىن	болсын
ايتاسىڭ	айтасың
وتىرعان	отырған
مىنالاردى	мыналарды
مەريت	мерит
ايتقانىمدى	айтқанымды
سويلەسۋگە	сөйлесуге
وسىنى	осыны
مۇشەلەرىن	мүшелерін
قۇرىپ	құрып
جامان	жаман
اعىلشىن	ағылшын
ەتەمىز	етеміз
جانۋار	жануар
مۇشەسىن	мүшесін
ادامداردى	адамдарды
ولاردا	оларда
سونى	соны
امينگە	аминге
كورىنەدى	көрінеді
ولاردىڭ	олардың
ٴوزىڭىز	өзіңіз
بولماق	болмақ
قيىن	қиын
تۇتقىندار	тұтқындар
ٴبىرتۇرلى	біртүрлі
كەتەمىن	кетемін
ۇكىمەتى	үкіметі
ەمحانا	емхана
قىز	қыз
بۇدان	бұдан
ماقتان	мақтан
انىق	анық
دەيسىڭ	дейсің
تارت	тарт
اۋىلعا	ауылға
ەرتەڭ	ертең
زوودۇكەن	зоодүкен
جاساي	жасай
كوپ	көп
ماقسات	мақсат
ايتادى	айтады
جاسايتىن	жасайтын
يتتەر	иттер
دەدىم	дедім
قۇدايدىڭ	құдайдың
ستوۋن	стоун
شاقىرىپ	шақырып
ادامنىڭ	адамның
تۇرسىڭ	тұрсың
كىسىنى	кісіні
ەمحاناعا	емханаға
اناڭ	анаң
ۇقسايدى	ұқсайды
جانىڭدا	жаныңда
وتىنەم	өтінем
ەمدى	емді
كورەدى	көреді
كەتە	кете
المادىم	алмадым
قاماپ	қамап
بالانىڭ	баланың
باستاپ	бастап
ٴوزىڭ	өзің
حابارلاسىپ	хабарласып
تاستا	таста
باسىنا	басына
ٴجۇرمىن	жүрмін
قارىم	қарым
ماشينا	машина
ولتىرمەكشى	өлтірмекші
تالعام	талғам
ٴولىپ	өліп
دەم	дем
كەشە	кеше
قوسىلىپ	қосылып
تومەن	төмен
ٴبىرى	бірі
دىم	дым
تۇرعان	тұрған
وكىلى	өкілі
اشىق	ашық
المايدى	алмайды
قالايدى	қалайды
ساعات	сағат
كەيدە	кейде
بەتىن	бетін
سالىنعان	салынған
قولدانا	қолдана
جاسالعان	жасалған
بولدىم	болдым
ەكەۋمىزدىڭ	екеуміздің
ارتقا	артқа
ەستىدىم	естідім
ەشقانداي	ешқандай
جايلى	жайлы
كەلدىڭ	келдің
سەبەپ	себеп
توقتاماي	тоқтамай
باسقاشا	басқаша
ۇردىم	ұрдым
كەلگەنىن	келгенін
بولۋى	болуы
الدىندا	алдында
كىمگە	кімге
ۇستىندە	үстінде
مەنىمەن	менімен
ماما	мама
اداممەن	адаммен
سويلەسىپ	сөйлесіп
وتىرسىڭ	отырсың
قاي	қай
جەرگىلىكتى	жергілікті
كەلسە	келсе
بەرە	бере
ەكەۋمىز	екеуміз
ويىن	ойын
الاسىڭ	аласың
اتىپ	атып
قۇدايدان	құдайдан
ٴتۇرلى	түрлі
تىنىش	тыныш
ورنىنا	орнына
بىلەسىڭبە	білесіңбе
اناۋ	анау
بولسام	болсам
كوردىڭىز	көрдіңіз
قولىم	қолым
باتىس	батыс
اگەنتى	агенті
جاس	жас
جىبەردى	жіберді
اعىلشىنشا	ағылшынша
ەمەسپىن	емеспін
بۇرىندا	бұрында
شوتلاندىق	шотландық
قولىندا	қолында
سەنەدى	сенеді
شارشادىم	шаршадым
جاتىرسىڭ	жатырсың
توقتاما	тоқтама
تاپتىڭىز	таптыңыз
ايتقان	айтқан
ەلدىڭ	елдің
دراممي	драмми
بۇنىڭ	бұның
ايتىڭىز	айтыңыз
سەزىپ	сезіп
قازىر	қазір
الدى	алды
ەكەنسىڭ	екенсің
ادامعا	адамға
كورەمىز	көреміз
تىڭداشى	тыңдашы
مەننەن	меннен
دەگەنىڭ	дегенің
ادامدارعا	адамдарға
جاتىرسىز	жатырсыз
بارلىعى	барлығы
بارام	барам
كۇيەۋىم	күйеуім
ٴوزىنىڭ	өзінің
جىبەرگەن	жіберген
كۇدىكتى	күдікті
وقاسى	оқасы
ولەڭ	өлең
ريچموند	ричмонд
كەش	кеш
بىردەي	бірдей
بايلانىس	байланыс
كەلىڭىز	келіңіз
قام	қам
ويلايدى	ойлайды
سويلەيسىز	сөйлейсіз
تابادى	табады
وسيەتى	өсиеті
قوش	қош
مىنەيتىن	мінейтін
اقىماق	ақымақ
بەرەم	берем
شىعارىپ	шығарып
بولمەسىنە	бөлмесіне
دالباسا	далбаса
بارىن	барын
ەلىمە	еліме
كۇتپەگەن	күтпеген
ماسكۇنەم	маскүнем
سوزىنە	сөзіне
كورگەم	көргем
يتني	итни
جول	жол
بولاتىنمىن	болатынмын
بەلگىسىز	белгісіз
بولىڭىز	болыңыз
قويعان	қойған
دونور	донор
جەتى	жеті
ٴىستى	істі
ادال	адал
تۇندە	түнде
ايتپايسىڭ	айтпайсың
جاعدايىنا	жағдайына
حوليدەي	холидей
جوققا	жоққа
ماشينانى	машинаны
ىستەر	істер
زىم	зым
سىرتقى	сыртқы
ايتپايمىن	айтпаймын
ەستيدى	естиді
بۇكىل	бүкіл
ۇمىتتەنىپ	үміттеніп
سەندەرگە	сендерге
جەتە	жете
سكيننەر	скиннер
افريكا	африка
ٴىزى	ізі
قىلمىسقا	қылмысқа
سۇراعان	сұраған
ماقالانى	мақаланы
تۇسىمدە	түсімде
تالشىقتى	талшықты
ۇيىنە	үйіне
كورىڭىز	көріңіз
جاتىپ	жатып
قالايسىز	қалайсыз
بەرەمىن	беремін
وقىدىڭ	оқыдың
اگەنتتى	агентті
كورسەت	көрсет
اۋىستىرۋعا	ауыстыруға
ادامسىڭ	адамсың
بولماعان	болмаған
شەگىن	шегін
الداپ	алдап
تولىعىمەن	толығымен
ٴبولىم	бөлім
بەرمەيدى	бермейді
بولشەكتەرى	бөлшектері
سەنبەيمىن	сенбеймін
جەتكىزەمىن	жеткіземін
قالۋ	қалу
توسەكتەگى	төсектегі
نەمەسە	немесе
تاستاڭىزشى	тастаңызшы
تانيسىز	танисыз
اگەنتتىڭ	агенттің
سۇراۋ	сұрау
ىشىندە	ішінде
قويىڭىز	қойыңыз
تۇراسىز	тұрасыз
ورەسكەل	өрескел
ىشتە	іште
اۋىرۋى	ауыруы
ٴتۇسىر	түсір
الدىق	алдық
جۇمىسىن	жұмысын
ۇنامايدى	ұнамайды
قولدارىڭدى	қолдарыңды
وكپە	өкпе
بىرگەمىن	біргемін
ويلايمىز	ойлаймыз
ۇيىقتاپ	ұйықтап
جىلدام	жылдам
وزدەرى	өздері
بالام	балам
براسلەت	браслет
تاپتىق	таптық
ايدا	айда
وتىرىپ	отырып
ەمدەۋگە	емдеуге
حابارلاستى	хабарласты
تاستاڭىز	тастаңыз
ۇستاعان	ұстаған
ەمى	емі
جاعدايى	жағдайы
ٴومىرى	өмірі
تاستاما	тастама
ەتكىم	еткім
تۇرعاندا	тұрғанда
باسىنان	басынан
زاتتى	затты
عىلىم	ғылым
سىيلايمىن	сыйлаймын
ەكەۋىندە	екеуінде
توقتاتتى	тоқтатты
ەستىدىك	естідік
الماقشى	алмақшы
بەرەمىز	береміз
بىلمەيمىز	білмейміз
ايتام	айтам
باعا	баға
بالاما	балама
تابىلدى	табылды
باسسەينگە	бассейнге
جاتاقحانا	жатақхана
سىيلىعىم	сыйлығым
كولىك	көлік
سەنىكى	сенікі
كورەيىك	көрейік
تاستادىم	тастадым
ىڭعايلى	ыңғайлы
ارنالعان	арналған
الامىن	аламын
اۋرۋىنا	ауруына
ەكەۋىڭ	екеуің
قۇتىلۋىم	құтылуым
ويلادىم	ойладым
سەنگىم	сенгім
امالىم	амалым
شىقپايمىن	шықпаймын
كەزدەسەتىن	кездесетін
كەلمەي	келмей
سيرەك	сирек
كوزىڭدى	көзіңді
ٴبىلىپ	біліп
ۇيىقتاي	ұйықтай
توماس	томас
تۇسىنبەدىم	түсінбедім
باسىم	басым
ٴبىراتالا	біратала
كورسەتكىم	көрсеткім
بەرەيىن	берейін
جەردى	жерді
ايتپادىڭ	айтпадың
جوعالت	жоғалт
كوز	көз
ىستەگەنى	істегені
الا	ала
ىزدەرى	іздері
بايلانىستى	байланысты
بولماي	болмай
نەمەنە	немене
ازياتتاردى	азиаттарды
وقيعالارعا	оқиғаларға
دايىن	дайын
قولدا	қолда
سومەرسەت	сомерсет
سەنەسىز	сенесіз
قولىڭدى	қолыңды
ولىمگە	өлімге
قۇدايدى	құдайды
كەزىندە	кезінде
كوزىمدى	көзімді
قولىڭنان	қолыңнан
كۇندە	күнде
جولى	жолы
ويىڭدى	ойыңды
ٴتىرىمىن	тірімін
كەپىلگەر	кепілгер
سۇرايىن	сұрайын
ەنتەبيگە	ентебиге
ۇرلانىپ	ұрланып
ادامدارىم	адамдарым
باستادى	бастады
بولعانىم	болғаным
ساندىراق	сандырақ
بەزگەك	безгек
جاسادىڭ	жасадың
بارامىن	барамын
اتاققا	атаққа
الادى	алады
تيمەي	тимей
تۇرىپ	тұрып
بالاعا	балаға
پەن	пен
ٴولىم	өлім
كەسىرىنەن	кесірінен
ايتتىڭىز	айттыңыз
قۇتقارۋ	құтқару
قايتىپ	қайтып
ٴوزىمىزدىڭ	өзіміздің
شىققان	шыққан
حات	хат
جىبەرگەندە	жібергенде
ىسىك	ісік
قويدىم	қойдым
رەتىندە	ретінде
ەلەس	елес
تىكە	тіке
اسىقپاڭدار	асықпаңдар
قاتاردى	қатарды
تاپسىرامىز	тапсырамыз
جىلدار	жылдар
بەردىڭ	бердің
ستاماڭدار	стамаңдар
جۇمىسىڭ	жұмысың
كورسەتەمىن	көрсетемін
ەتتىڭ	еттің
شىعارسىز	шығарсыз
اناليز	анализ
كەسىپ	кесіп
شىعادى	шығады
تەلەفون	телефон
قىزدى	қызды
ٴجۇرىپ	жүріп
ىزدەۋ	іздеу
كەتەتىن	кететін
كەتسەڭ	кетсең
كۇدىكتىنىڭ	күдіктінің
سويلەس	сөйлес
قۇدايعا	құдайға
كورىنەتىن	көрінетін
جارىق	жарық
كورەسىز	көресіз
التى	алты
الامىز	аламыз
بۇعان	бұған
ۇيدە	үйде
ٴىرى	ірі
تەكسەرۋ	тексеру
ەمەسپىز	емеспіз
الام	алам
تيىم	тиым
ۇرگەنىن	үргенін
ناشار	нашар
سەنىپ	сеніп
اۋىرادى	ауырады
بوسقا	босқа
بوساتىڭدار	босатыңдар
تاپتىم	таптым
جاتىڭدار	жатыңдар
توقتاڭدار	тоқтаңдар
شامالى	шамалы
جويىپ	жойып
زاتقا	затқа
جەپ	жеп
ورنىندا	орнында
امان	аман
الىس	алыс
كەز	кез
دەدى	деді
ۇستاڭدار	ұстаңдар
كۇدىك	күдік
باسقارۋ	басқару
كىسىگە	кісіге
شىق	шық
مينۋت	минут
بۇنىمەن	бұнымен
تەرەڭ	терең
ۆيسكي	виски
تويدىم	тойдым
اۋرۋحاناسى	ауруханасы
سەرۋەندەپ	серуендеп
جالاڭاش	жалаңаш
ٴبيشى	биші
جىگىتتەر	жігіттер
تاباسىز	табасыз
العىر	алғыр
تەكسەرۋگە	тексеруге
ىستەيدى	істейді
دەيىن	дейін
داكوتا	дакота
باسىندا	басында
وردەرىمىز	ордеріміз
قۇلاتىپ	құлатып
كەتۋى	кетуі
وڭاي	оңай
قولىن	қолын
ٴجۇرىڭىز	жүріңіз
اپارىپ	апарып
بولماڭىز	болмаңыз
زاتتار	заттар
حالىققا	халыққа
ەندەشە	ендеше
تاستايدى	тастайды
تۇردە	түрде
وتكىزىپ	өткізіп
جازىپ	жазып
سىيىردىڭ	сыйырдың
جاعدايدا	жағдайда
تۇرا	тұра
وقيعا	оқиға
مىندەتتى	міндетті
اندا	анда
تىك	тік
الدىڭىز	алдыңыз
كەشكى	кешкі
تاماق	тамақ
ۇيلەنگەن	үйленген
ىشكە	ішке
جاعىمسىز	жағымсыз
كورەيىن	көрейін
كوزگە	көзге
ساقتاپ	сақтап
تۋدى	туды
سالاماتسىز	саламатсыз
توڭكەرىس	төңкеріс
ەسىمىم	есімім
كىمسىز	кімсіз
بەلگىلى	белгілі
ٴومىرىمدى	өмірімді
قاۋىپ	қауіп
بارامىز	барамыз
نەتكەن	неткен
قايداسىز	қайдасыз
ەتەتىن	ететін
كەدەي	кедей
ٴومىرىم	өмірім
ەتتىم	еттім
ماسانگا	масанга
بالاسى	баласы
قويشى	қойшы
بۇنى	бұны
انت	ант
كەۋدەسىنە	кеудесіне
ٴىسىم	ісім
الىپتى	алыпты
ساعاتتا	сағатта
يەسى	иесі
جىلدان	жылдан
وتكەندە	өткенде
تانىسپىن	таныспын
تاڭدادىڭ	таңдадың
شوتىنا	шотына
جالىندى	жалынды
